month,skills,mentions,total_postings,share_pct
2023-01,qlik,75,3682,2.037
2023-02,qlik,55,2828,1.945
2023-03,qlik,45,2727,1.65
2023-04,qlik,61,2493,2.447
2023-05,qlik,51,2357,2.164
2023-06,qlik,36,2362,1.524
2023-07,qlik,49,2560,1.914
2023-08,qlik,51,3008,1.695
2023-09,qlik,18,870,2.069
2022-11,r,520,2159,24.085
2022-12,r,665,3329,19.976
2023-01,r,581,3682,15.779
2023-02,r,475,2828,16.796
2023-03,r,493,2727,18.078
2023-04,r,437,2493,17.529
2023-05,r,395,2357,16.759
2023-06,r,384,2362,16.257
2023-07,r,447,2560,17.461
2023-08,r,597,3008,19.847
2023-09,r,167,870,19.195
2022-11,redis,1,2159,0.046
2022-12,redis,5,3329,0.15
2023-01,redis,3,3682,0.081
2023-03,redis,1,2727,0.037
2023-05,redis,1,2357,0.042
2023-07,redis,1,2560,0.039
2022-11,redshift,31,2159,1.436
2022-12,redshift,65,3329,1.953
2023-01,redshift,45,3682,1.222
2023-02,redshift,41,2828,1.45
2023-03,redshift,54,2727,1.98
2023-04,redshift,29,2493,1.163
2023-05,redshift,41,2357,1.739
2023-06,redshift,44,2362,1.863
2023-07,redshift,48,2560,1.875
2023-08,redshift,49,3008,1.629
2023-09,redshift,13,870,1.494
2022-12,rshiny,1,3329,0.03
2023-01,rshiny,1,3682,0.027
2023-02,rshiny,1,2828,0.035
2023-04,rshiny,5,2493,0.201
2023-05,rshiny,1,2357,0.042
2023-08,rshiny,7,3008,0.233
2023-09,rshiny,1,870,0.115
2022-11,ruby,6,2159,0.278
2022-12,ruby,16,3329,0.481
2023-01,ruby,9,3682,0.244
2023-02,ruby,5,2828,0.177
2023-03,ruby,6,2727,0.22
2023-04,ruby,3,2493,0.12
2023-05,ruby,2,2357,0.085
2023-06,ruby,4,2362,0.169
2023-07,ruby,6,2560,0.234
2023-09,ruby,1,870,0.115
2022-11,rust,1,2159,0.046
2023-01,rust,1,3682,0.027
2023-02,rust,2,2828,0.071
2023-03,rust,1,2727,0.037
2023-04,rust,2,2493,0.08
2023-06,rust,3,2362,0.127
2023-07,rust,1,2560,0.039
2022-11,sap,52,2159,2.409
2022-12,sap,109,3329,3.274
2023-01,sap,112,3682,3.042
2023-02,sap,133,2828,4.703
2023-03,sap,75,2727,2.75
2023-04,sap,91,2493,3.65
2023-05,sap,87,2357,3.691
2023-06,sap,102,2362,4.318
2023-07,sap,111,2560,4.336
2023-08,sap,113,3008,3.757
2023-09,sap,40,870,4.598
2022-11,sas,318,2159,14.729
2022-12,sas,396,3329,11.895
2023-01,sas,296,3682,8.039
2023-02,sas,241,2828,8.522
2023-03,sas,260,2727,9.534
2023-04,sas,235,2493,9.426
2023-05,sas,192,2357,8.146
2023-06,sas,150,2362,6.351
2023-07,sas,182,2560,7.109
2023-08,sas,286,3008,9.508
2023-09,sas,81,870,9.31
2023-08,sass,1,3008,0.033
2022-11,scala,29,2159,1.343
2022-12,scala,86,3329,2.583
2023-01,scala,89,3682,2.417
2023-02,scala,98,2828,3.465
2023-03,scala,97,2727,3.557
2023-04,scala,72,2493,2.888
2023-05,scala,117,2357,4.964
2023-06,scala,105,2362,4.445
2023-07,scala,100,2560,3.906
2023-08,scala,194,3008,6.449
2023-09,scala,25,870,2.874
2022-11,scikit-learn,10,2159,0.463
2022-12,scikit-learn,15,3329,0.451
2023-01,scikit-learn,13,3682,0.353
2023-02,scikit-learn,22,2828,0.778
2023-03,scikit-learn,17,2727,0.623
2023-04,scikit-learn,8,2493,0.321
2023-05,scikit-learn,8,2357,0.339
2023-06,scikit-learn,45,2362,1.905
2023-07,scikit-learn,16,2560,0.625
2023-08,scikit-learn,22,3008,0.731
2023-09,scikit-learn,4,870,0.46
2022-11,seaborn,5,2159,0.232
2022-12,seaborn,4,3329,0.12
2023-01,seaborn,7,3682,0.19
2023-02,seaborn,5,2828,0.177
2023-03,seaborn,3,2727,0.11
2023-04,seaborn,3,2493,0.12
2023-05,seaborn,4,2357,0.17
2023-06,seaborn,5,2362,0.212
2023-07,seaborn,8,2560,0.312
2023-08,seaborn,4,3008,0.133
2023-09,seaborn,1,870,0.115
2022-11,selenium,2,2159,0.093
2022-12,selenium,3,3329,0.09
2023-01,selenium,8,3682,0.217
2023-03,selenium,4,2727,0.147
2023-04,selenium,5,2493,0.201
2023-05,selenium,1,2357,0.042
2023-06,selenium,4,2362,0.169
2023-07,selenium,3,2560,0.117
2023-08,selenium,2,3008,0.066
2023-09,selenium,1,870,0.115
2022-11,sharepoint,39,2159,1.806
2022-12,sharepoint,62,3329,1.862
2023-01,sharepoint,79,3682,2.146
2023-02,sharepoint,74,2828,2.617
2023-03,sharepoint,81,2727,2.97
2023-04,sharepoint,58,2493,2.327
2023-05,sharepoint,72,2357,3.055
2023-06,sharepoint,57,2362,2.413
2023-07,sharepoint,72,2560,2.812
2023-08,sharepoint,97,3008,3.225
2023-09,sharepoint,23,870,2.644
2022-11,shell,6,2159,0.278
2022-12,shell,7,3329,0.21
2023-01,shell,19,3682,0.516
2023-02,shell,17,2828,0.601
2023-03,shell,20,2727,0.733
2023-04,shell,9,2493,0.361
2023-05,shell,5,2357,0.212
2023-06,shell,13,2362,0.55
2023-07,shell,25,2560,0.977
2023-08,shell,23,3008,0.765
2023-09,shell,6,870,0.69
2022-11,snowflake,203,2159,9.403
2022-12,snowflake,257,3329,7.72
2023-01,snowflake,198,3682,5.378
2023-02,snowflake,209,2828,7.39
2023-03,snowflake,149,2727,5.464
2023-04,snowflake,119,2493,4.773
2023-05,snowflake,88,2357,3.734
2023-06,snowflake,121,2362,5.123
2023-07,snowflake,146,2560,5.703
2023-08,snowflake,201,3008,6.682
2023-09,snowflake,49,870,5.632
2023-01,solidity,1,3682,0.027
2023-05,solidity,2,2357,0.085
2023-06,solidity,1,2362,0.042
2023-08,solidity,1,3008,0.033
2022-11,spark,63,2159,2.918
2022-12,spark,140,3329,4.205
2023-01,spark,130,3682,3.531
2023-02,spark,118,2828,4.173
2023-03,spark,124,2727,4.547
2023-04,spark,107,2493,4.292
2023-05,spark,137,2357,5.812
2023-06,spark,140,2362,5.927
2023-07,spark,146,2560,5.703
2023-08,spark,252,3008,8.378
2023-09,spark,38,870,4.368
2022-11,splunk,5,2159,0.232
2022-12,splunk,11,3329,0.33
2023-01,splunk,14,3682,0.38
2023-02,splunk,13,2828,0.46
2023-03,splunk,10,2727,0.367
2023-04,splunk,17,2493,0.682
2023-05,splunk,15,2357,0.636
2023-06,splunk,5,2362,0.212
2023-07,splunk,5,2560,0.195
2023-08,splunk,20,3008,0.665
2023-09,splunk,6,870,0.69
2022-11,spreadsheet,91,2159,4.215
2022-12,spreadsheet,117,3329,3.515
2023-01,spreadsheet,126,3682,3.422
2023-02,spreadsheet,85,2828,3.006
2023-03,spreadsheet,106,2727,3.887
2023-04,spreadsheet,91,2493,3.65
2023-05,spreadsheet,96,2357,4.073
2023-06,spreadsheet,92,2362,3.895
2023-07,spreadsheet,96,2560,3.75
2023-08,spreadsheet,115,3008,3.823
2023-09,spreadsheet,36,870,4.138
2022-11,spss,189,2159,8.754
2022-12,spss,177,3329,5.317
2023-01,spss,93,3682,2.526
2023-02,spss,79,2828,2.793
2023-03,spss,87,2727,3.19
2023-04,spss,66,2493,2.647
2023-05,spss,56,2357,2.376
2023-06,spss,65,2362,2.752
2023-07,spss,49,2560,1.914
2023-08,spss,86,3008,2.859
2023-09,spss,29,870,3.333
2022-11,sql,1179,2159,54.609
2022-12,sql,1686,3329,50.646
2023-01,sql,2013,3682,54.671
2023-02,sql,1434,2828,50.707
2023-03,sql,1461,2727,53.575
2023-04,sql,1206,2493,48.375
2023-05,sql,1154,2357,48.961
2023-06,sql,1163,2362,49.238
2023-07,sql,1207,2560,47.148
2023-08,sql,1657,3008,55.086
2023-09,sql,443,870,50.92
2022-11,ssis,28,2159,1.297
2022-12,ssis,53,3329,1.592
2023-01,ssis,88,3682,2.39
2023-02,ssis,68,2828,2.405
2023-03,ssis,36,2727,1.32
2023-04,ssis,42,2493,1.685
2023-05,ssis,46,2357,1.952
2023-06,ssis,56,2362,2.371
2023-07,ssis,55,2560,2.148
2023-08,ssis,54,3008,1.795
2023-09,ssis,18,870,2.069
2022-11,ssrs,31,2159,1.436
2022-12,ssrs,55,3329,1.652
2023-01,ssrs,74,3682,2.01
2023-02,ssrs,49,2828,1.733
2023-03,ssrs,43,2727,1.577
2023-04,ssrs,47,2493,1.885
2023-05,ssrs,62,2357,2.63
2023-06,ssrs,55,2362,2.329
2023-07,ssrs,49,2560,1.914
2023-08,ssrs,61,3008,2.028
2023-09,ssrs,34,870,3.908
2022-11,swift,2,2159,0.093
2022-12,swift,3,3329,0.09
2023-01,swift,96,3682,2.607
2023-02,swift,10,2828,0.354
2023-03,swift,3,2727,0.11
2023-04,swift,3,2493,0.12
2023-05,swift,3,2357,0.127
2023-06,swift,2,2362,0.085
2023-07,swift,4,2560,0.156
2023-08,swift,1,3008,0.033
2023-09,swift,2,870,0.23
2022-11,t-sql,27,2159,1.251
2022-12,t-sql,30,3329,0.901
2023-01,t-sql,52,3682,1.412
2023-02,t-sql,21,2828,0.743
2023-03,t-sql,24,2727,0.88
2023-04,t-sql,16,2493,0.642
2023-05,t-sql,13,2357,0.552
2023-06,t-sql,20,2362,0.847
2023-07,t-sql,25,2560,0.977
2023-08,t-sql,29,3008,0.964
2023-09,t-sql,6,870,0.69
2022-11,tableau,624,2159,28.902
2022-12,tableau,922,3329,27.696
2023-01,tableau,1184,3682,32.156
2023-02,tableau,725,2828,25.636
2023-03,tableau,714,2727,26.183
2023-04,tableau,680,2493,27.276
2023-05,tableau,651,2357,27.62
2023-06,tableau,693,2362,29.34
2023-07,tableau,643,2560,25.117
2023-08,tableau,861,3008,28.624
2023-09,tableau,228,870,26.207
2022-11,tensorflow,5,2159,0.232
2022-12,tensorflow,20,3329,0.601
2023-01,tensorflow,20,3682,0.543
2023-02,tensorflow,28,2828,0.99
2023-03,tensorflow,29,2727,1.063
2023-04,tensorflow,25,2493,1.003
2023-05,tensorflow,17,2357,0.721
2023-06,tensorflow,14,2362,0.593
2023-07,tensorflow,23,2560,0.898
2023-08,tensorflow,36,3008,1.197
2023-09,tensorflow,3,870,0.345
2022-11,terminal,4,2159,0.185
2022-12,terminal,6,3329,0.18
2023-01,terminal,8,3682,0.217
2023-02,terminal,3,2828,0.106
2023-03,terminal,7,2727,0.257
2023-04,terminal,7,2493,0.281
2023-05,terminal,3,2357,0.127
2023-06,terminal,2,2362,0.085
2023-07,terminal,6,2560,0.234
2023-08,terminal,11,3008,0.366
2023-09,terminal,1,870,0.115
2023-08,theano,3,3008,0.1
2022-12,tidyr,1,3329,0.03
2022-12,twilio,3,3329,0.09
2023-07,twilio,1,2560,0.039
2023-08,twilio,1,3008,0.033
2023-09,twilio,2,870,0.23
2022-12,typescript,2,3329,0.06
2023-01,typescript,2,3682,0.054
2023-05,typescript,2,2357,0.085
2023-06,typescript,4,2362,0.169
2023-08,typescript,1,3008,0.033
2022-11,unix,14,2159,0.648
2022-12,unix,24,3329,0.721
2023-01,unix,26,3682,0.706
2023-02,unix,22,2828,0.778
2023-03,unix,17,2727,0.623
2023-04,unix,20,2493,0.802
2023-05,unix,9,2357,0.382
2023-06,unix,17,2362,0.72
2023-07,unix,12,2560,0.469
2023-08,unix,22,3008,0.731
2023-09,unix,1,870,0.115
2022-11,unix/linux,3,2159,0.139
2022-12,unix/linux,7,3329,0.21
2023-01,unix/linux,5,3682,0.136
2023-02,unix/linux,2,2828,0.071
2023-03,unix/linux,2,2727,0.073
2023-04,unix/linux,2,2493,0.08
2023-05,unix/linux,5,2357,0.212
2023-07,unix/linux,3,2560,0.117
2023-08,unix/linux,1,3008,0.033
2022-11,vb.net,1,2159,0.046
2022-12,vb.net,2,3329,0.06
2023-01,vb.net,2,3682,0.054
2023-02,vb.net,1,2828,0.035
2023-03,vb.net,3,2727,0.11
2023-04,vb.net,1,2493,0.04
2023-06,vb.net,1,2362,0.042
2023-07,vb.net,1,2560,0.039
2023-08,vb.net,2,3008,0.066
2022-11,vba,104,2159,4.817
2022-12,vba,49,3329,1.472
2023-01,vba,64,3682,1.738
2023-02,vba,67,2828,2.369
2023-03,vba,72,2727,2.64
2023-04,vba,66,2493,2.647
2023-05,vba,61,2357,2.588
2023-06,vba,69,2362,2.921
2023-07,vba,77,2560,3.008
2023-08,vba,84,3008,2.793
2023-09,vba,13,870,1.494
2022-11,visio,31,2159,1.436
2022-12,visio,36,3329,1.081
2023-01,visio,34,3682,0.923
2023-02,visio,35,2828,1.238
2023-03,visio,36,2727,1.32
2023-04,visio,41,2493,1.645
2023-05,visio,35,2357,1.485
2023-06,visio,26,2362,1.101
2023-07,visio,27,2560,1.055
2023-08,visio,33,3008,1.097
2023-09,visio,9,870,1.034
2022-11,visual_basic,5,2159,0.232
2022-12,visual_basic,10,3329,0.3
2023-01,visual_basic,28,3682,0.76
2023-02,visual_basic,20,2828,0.707
2023-03,visual_basic,14,2727,0.513
2023-04,visual_basic,25,2493,1.003
2023-05,visual_basic,17,2357,0.721
2023-06,visual_basic,6,2362,0.254
2023-07,visual_basic,10,2560,0.391
2023-08,visual_basic,7,3008,0.233
2023-09,visual_basic,4,870,0.46
2022-12,vue,6,3329,0.18
2023-01,vue,1,3682,0.027
2023-02,vue,2,2828,0.071
2023-05,vue,1,2357,0.042
2023-07,vue,1,2560,0.039
2023-08,vue,2,3008,0.066
2023-09,vue,1,870,0.115
2022-12,vue.js,1,3329,0.03
2023-02,vue.js,1,2828,0.035
2022-11,word,150,2159,6.948
2022-12,word,233,3329,6.999
2023-01,word,295,3682,8.012
2023-02,word,250,2828,8.84
2023-03,word,216,2727,7.921
2023-04,word,205,2493,8.223
2023-05,word,162,2357,6.873
2023-06,word,157,2362,6.647
2023-07,word,196,2560,7.656
2023-08,word,235,3008,7.812
2023-09,word,73,870,8.391
