month,skills,mentions,total_postings,share_pct
2023-01,crystal,37,3682,1.005
2023-02,crystal,16,2828,0.566
2023-03,crystal,26,2727,0.953
2023-04,crystal,17,2493,0.682
2023-05,crystal,31,2357,1.315
2023-06,crystal,33,2362,1.397
2023-07,crystal,28,2560,1.094
2023-08,crystal,29,3008,0.964
2023-09,crystal,7,870,0.805
2022-11,css,11,2159,0.509
2022-12,css,26,3329,0.781
2023-01,css,8,3682,0.217
2023-02,css,6,2828,0.212
2023-03,css,7,2727,0.257
2023-04,css,14,2493,0.562
2023-05,css,7,2357,0.297
2023-06,css,9,2362,0.381
2023-07,css,10,2560,0.391
2023-08,css,11,3008,0.366
2023-09,css,7,870,0.805
2022-12,dart,1,3329,0.03
2023-05,dart,1,2357,0.042
2023-07,dart,2,2560,0.078
2023-08,dart,1,3008,0.033
2023-03,datarobot,1,2727,0.037
2023-04,datarobot,1,2493,0.04
2023-07,datarobot,5,2560,0.195
2023-09,datarobot,1,870,0.115
2022-11,dax,25,2159,1.158
2022-12,dax,43,3329,1.292
2023-01,dax,47,3682,1.276
2023-02,dax,35,2828,1.238
2023-03,dax,34,2727,1.247
2023-04,dax,21,2493,0.842
2023-05,dax,31,2357,1.315
2023-06,dax,23,2362,0.974
2023-07,dax,43,2560,1.68
2023-08,dax,38,3008,1.263
2023-09,dax,12,870,1.379
2023-05,delphi,1,2357,0.042
2022-11,docker,13,2159,0.602
2022-12,docker,17,3329,0.511
2023-01,docker,14,3682,0.38
2023-02,docker,8,2828,0.283
2023-03,docker,9,2727,0.33
2023-04,docker,25,2493,1.003
2023-05,docker,10,2357,0.424
2023-06,docker,10,2362,0.423
2023-07,docker,25,2560,0.977
2023-08,docker,25,3008,0.831
2023-09,docker,4,870,0.46
2022-11,dplyr,4,2159,0.185
2022-12,dplyr,2,3329,0.06
2023-01,dplyr,2,3682,0.054
2023-03,dplyr,2,2727,0.073
2023-04,dplyr,3,2493,0.12
2023-05,dplyr,2,2357,0.085
2023-06,dplyr,1,2362,0.042
2023-07,dplyr,1,2560,0.039
2023-08,dplyr,3,3008,0.1
2023-06,elixir,4,2362,0.169
2023-08,elixir,1,3008,0.033
2023-08,erlang,2,3008,0.066
2022-11,excel,841,2159,38.953
2022-12,excel,1169,3329,35.116
2023-01,excel,1279,3682,34.737
2023-02,excel,1045,2828,36.952
2023-03,excel,987,2727,36.194
2023-04,excel,849,2493,34.055
2023-05,excel,708,2357,30.038
2023-06,excel,763,2362,32.303
2023-07,excel,770,2560,30.078
2023-08,excel,964,3008,32.048
2023-09,excel,281,870,32.299
2023-01,fortran,2,3682,0.054
2023-02,fortran,2,2828,0.071
2023-03,fortran,1,2727,0.037
2023-05,fortran,2,2357,0.085
2023-06,fortran,1,2362,0.042
2022-11,gcp,17,2159,0.787
2022-12,gcp,40,3329,1.202
2023-01,gcp,36,3682,0.978
2023-02,gcp,30,2828,1.061
2023-03,gcp,41,2727,1.503
2023-04,gcp,36,2493,1.444
2023-05,gcp,60,2357,2.546
2023-06,gcp,43,2362,1.82
2023-07,gcp,49,2560,1.914
2023-08,gcp,103,3008,3.424
2023-09,gcp,17,870,1.954
2022-11,gdpr,6,2159,0.278
2022-12,gdpr,13,3329,0.391
2023-01,gdpr,6,3682,0.163
2023-02,gdpr,1,2828,0.035
2023-03,gdpr,4,2727,0.147
2023-04,gdpr,4,2493,0.16
2023-05,gdpr,7,2357,0.297
2023-06,gdpr,11,2362,0.466
2023-07,gdpr,10,2560,0.391
2023-08,gdpr,7,3008,0.233
2023-09,gdpr,1,870,0.115
2022-11,ggplot2,1,2159,0.046
2022-12,ggplot2,4,3329,0.12
2023-01,ggplot2,1,3682,0.027
2023-02,ggplot2,5,2828,0.177
2023-03,ggplot2,9,2727,0.33
2023-04,ggplot2,4,2493,0.16
2023-05,ggplot2,2,2357,0.085
2023-06,ggplot2,33,2362,1.397
2023-08,ggplot2,6,3008,0.199
2022-11,git,17,2159,0.787
2022-12,git,34,3329,1.021
2023-01,git,41,3682,1.114
2023-02,git,24,2828,0.849
2023-03,git,29,2727,1.063
2023-04,git,43,2493,1.725
2023-05,git,17,2357,0.721
2023-06,git,25,2362,1.058
2023-07,git,48,2560,1.875
2023-08,git,50,3008,1.662
2023-09,git,9,870,1.034
2022-11,github,16,2159,0.741
2022-12,github,26,3329,0.781
2023-01,github,29,3682,0.788
2023-02,github,24,2828,0.849
2023-03,github,9,2727,0.33
2023-04,github,12,2493,0.481
2023-05,github,18,2357,0.764
2023-06,github,25,2362,1.058
2023-07,github,22,2560,0.859
2023-08,github,32,3008,1.064
2023-09,github,8,870,0.92
2022-11,gitlab,2,2159,0.093
2022-12,gitlab,4,3329,0.12
2023-01,gitlab,4,3682,0.109
2023-02,gitlab,3,2828,0.106
2023-03,gitlab,5,2727,0.183
2023-04,gitlab,4,2493,0.16
2023-05,gitlab,5,2357,0.212
2023-06,gitlab,6,2362,0.254
2023-07,gitlab,7,2560,0.273
2023-08,gitlab,16,3008,0.532
2023-09,gitlab,2,870,0.23
2022-11,go,96,2159,4.447
2022-12,go,112,3329,3.364
2023-01,go,167,3682,4.536
2023-02,go,109,2828,3.854
2023-03,go,90,2727,3.3
2023-04,go,82,2493,3.289
2023-05,go,79,2357,3.352
2023-06,go,75,2362,3.175
2023-07,go,79,2560,3.086
2023-08,go,114,3008,3.79
2023-09,go,26,870,2.989
2022-12,golang,1,3329,0.03
2023-01,golang,1,3682,0.027
2023-02,golang,2,2828,0.071
2023-03,golang,6,2727,0.22
2023-07,golang,3,2560,0.117
2023-09,golang,1,870,0.115
2022-12,graphql,1,3329,0.03
2023-03,graphql,4,2727,0.147
2023-06,graphql,3,2362,0.127
2023-09,graphql,3,870,0.345
2022-12,groovy,1,3329,0.03
2023-02,groovy,2,2828,0.071
2023-06,groovy,4,2362,0.169
2023-07,groovy,1,2560,0.039
2023-08,groovy,1,3008,0.033
2022-11,hadoop,105,2159,4.863
2022-12,hadoop,69,3329,2.073
2023-01,hadoop,58,3682,1.575
2023-02,hadoop,105,2828,3.713
2023-03,hadoop,79,2727,2.897
2023-04,hadoop,54,2493,2.166
2023-05,hadoop,35,2357,1.485
2023-06,hadoop,74,2362,3.133
2023-07,hadoop,60,2560,2.344
2023-08,hadoop,79,3008,2.626
2023-09,hadoop,11,870,1.264
2023-07,haskell,1,2560,0.039
2023-08,haskell,1,3008,0.033
2022-11,html,12,2159,0.556
2022-12,html,35,3329,1.051
2023-01,html,14,3682,0.38
2023-02,html,31,2828,1.096
2023-03,html,19,2727,0.697
2023-04,html,19,2493,0.762
2023-05,html,24,2357,1.018
2023-06,html,22,2362,0.931
2023-07,html,24,2560,0.938
2023-08,html,28,3008,0.931
2023-09,html,9,870,1.034
2022-11,java,46,2159,2.131
2022-12,java,89,3329,2.673
2023-01,java,78,3682,2.118
2023-02,java,70,2828,2.475
2023-03,java,60,2727,2.2
2023-04,java,56,2493,2.246
2023-05,java,39,2357,1.655
2023-06,java,44,2362,1.863
2023-07,java,77,2560,3.008
2023-08,java,101,3008,3.358
2023-09,java,15,870,1.724
2022-11,javascript,43,2159,1.992
2022-12,javascript,80,3329,2.403
2023-01,javascript,50,3682,1.358
2023-02,javascript,69,2828,2.44
2023-03,javascript,104,2727,3.814
2023-04,javascript,48,2493,1.925
2023-05,javascript,39,2357,1.655
2023-06,javascript,50,2362,2.117
2023-07,javascript,55,2560,2.148
2023-08,javascript,51,3008,1.695
2023-09,javascript,19,870,2.184
2022-11,jira,63,2159,2.918
2022-12,jira,93,3329,2.794
2023-01,jira,262,3682,7.116
2023-02,jira,82,2828,2.9
2023-03,jira,46,2727,1.687
2023-04,jira,106,2493,4.252
2023-05,jira,69,2357,2.927
2023-06,jira,66,2362,2.794
2023-07,jira,53,2560,2.07
2023-08,jira,79,3008,2.626
2023-09,jira,21,870,2.414
2022-11,jquery,3,2159,0.139
2023-01,jquery,2,3682,0.054
2023-03,jquery,5,2727,0.183
2023-04,jquery,3,2493,0.12
2023-05,jquery,1,2357,0.042
2023-06,jquery,7,2362,0.296
2023-07,jquery,3,2560,0.117
2023-08,jquery,2,3008,0.066
2023-09,jquery,2,870,0.23
2022-12,js,1,3329,0.03
2023-01,js,1,3682,0.027
2023-02,js,5,2828,0.177
2023-03,js,4,2727,0.147
2023-04,js,4,2493,0.16
2023-05,js,3,2357,0.127
2023-06,js,7,2362,0.296
2023-07,js,1,2560,0.039
2023-08,js,4,3008,0.133
2022-11,julia,5,2159,0.232
2022-12,julia,2,3329,0.06
2023-01,julia,2,3682,0.054
2023-02,julia,3,2828,0.106
2023-03,julia,3,2727,0.11
2023-04,julia,3,2493,0.12
2023-05,julia,2,2357,0.085
2023-06,julia,2,2362,0.085
2023-07,julia,4,2560,0.156
2023-08,julia,4,3008,0.133
2022-11,jupyter,16,2159,0.741
2022-12,jupyter,9,3329,0.27
2023-01,jupyter,16,3682,0.435
2023-02,jupyter,11,2828,0.389
2023-03,jupyter,15,2727,0.55
2023-04,jupyter,17,2493,0.682
2023-05,jupyter,12,2357,0.509
2023-06,jupyter,17,2362,0.72
